section,details
name,Jay Lao
headline,Software developer focused on machine learning and software engineering
summary,Practical builder with an early interest in technology and a focus on efficient user-focused systems.
skills,"Python; Java; C++; PHP; JavaScript; HTML / CSS; React; Next.js; Laravel; Tailwind CSS; Bootstrap; Scikit-learn; JavaFX; Streamlit; MySQL; Jupyter Notebook; Vite"
focus,"Machine Learning; Cybersecurity; Software Engineering"
interests,"Building practical solutions; lifelong learning; hands-on projects"
